"Name","Tags","State","Notes","User","Created","Runtime","Sweep","accelerator","adata_path","batch_size","code_dim","decoder_hidden_dim","deeply_inject_covariates","devices","dropout_rate","early_stopping","encode_covariates","encoder_hidden_dim","encoder_type","eps","fig_dir","h_hidden_dim","initialize_embeddings_from_pca","junction_inclusion","latent_dim","learn_concentration","linformer_k","lr","lr_factor","lr_min","lr_patience","lr_threshold","max_epochs","model_dir","n_epochs_kl_warmup","num_transformer_layers","pool_mode","reduce_lr_on_plateau","save_best","shuffle_set_split","splice_likelihood","umap_colors","use_transformer","weight_decay","test_adata_path","train_adata_path","num_weight_vectors","temperature_fixed","temperature_value","forward_style","elbo_train","elbo_validation","epoch","kl_global_train","kl_global_validation","kl_local_train","kl_local_validation","kl_weight","model_saved_to","psi_pred_obs_pearson_corr","psi_pred_obs_spearman_corr","reconstruction_loss_train","reconstruction_loss_validation","silhouette_score","simulated/accuracy","simulated/f1_score","simulated/precision","simulated/recall","total_parameters","train_loss_epoch","train_loss_step","trainer/global_step","validation_loss","impute-test/n_masked_entries","impute-test/psi_pearson_corr_masked_atse","impute-test/psi_spearman_corr_masked_atse","real-test/accuracy","real-test/age_r2","real-test/f1_score","real-test/precision","real-test/psi_pearson_corr","real-test/psi_spearman_corr","real-test/recall","real-test/silhouette_score","real-train/accuracy","real-train/age_r2","real-train/f1_score","real-train/precision","real-train/psi_pearson_corr","real-train/psi_spearman_corr","real-train/recall","real-train/silhouette_score"
"kind-jazz-285","real, scatter, subset","finished","-","","2025-09-02T13:12:42.000Z","52433","","auto","","256","32","","true","auto","0.01","true","false","128","PartialEncoderWeightedSumEDDIMultiWeightATSE","1e-8","/gpfs/commons/home/svaidyanathan/splice_vi_partial_vae_sweep/batch_20250901_203612/sweep_REAL_cd32_ld=20_lr=1e-5_5_scatter_PartialEncoderWeightedSumEDDIMultiWeightATSE_W=5/figures","64","true","","20","true","","0.00001","0.6","0","30","0","500","/gpfs/commons/home/svaidyanathan/splice_vi_partial_vae_sweep/batch_20250901_203612/sweep_REAL_cd32_ld=20_lr=1e-5_5_scatter_PartialEncoderWeightedSumEDDIMultiWeightATSE_W=5/models","50","2","mean","false","true","true","dirichlet_multinomial","[""cell_type_grouped""]","","0.001","/gpfs/commons/groups/knowles_lab/Karin/Leaflet-analysis-WD/MOUSE_SPLICING_FOUNDATION/MODEL_INPUT/072025/test_30_70_20250730_subsetMAX4JUNC.h5mu","/gpfs/commons/groups/knowles_lab/Karin/Leaflet-analysis-WD/MOUSE_SPLICING_FOUNDATION/MODEL_INPUT/072025/train_70_30_20250730_subsetMAX4JUNC.h5mu","5","true","-1","scatter","32.40357971191406","32.39128112792969","499","0","0","15.416780471801758","15.231224060058594","1","/gpfs/commons/home/svaidyanathan/splice_vi_partial_vae_sweep/batch_20250901_203612/sweep_REAL_cd32_ld=20_lr=1e-5_5_scatter_PartialEncoderWeightedSumEDDIMultiWeightATSE_W=5/models","","","16.986801147460938","17.16005516052246","","","","","","4424096","4357.20751953125","4257.26318359375","169999","4372.25048828125","53130966","0.7981878575143175","0.7973621440848648","0.768031895614353","0.4508968402410723","0.7291137947127904","0.7277228796423533","0.798270263562396","0.7974251635031504","0.768031895614353","0.04290766641497612","0.7710631246439853","0.4552501488272951","0.7358610943033294","0.7330100789630623","0.7982466885962607","0.7974005615366904","0.7710631246439853","0.03943425789475441"
"chocolate-wildflower-281","real, scatter, subset","finished","-","","2025-09-02T00:36:43.000Z","45904","","auto","","256","32","","true","auto","0.01","true","false","128","PartialEncoderEDDIATSE","1e-8","/gpfs/commons/home/svaidyanathan/splice_vi_partial_vae_sweep/batch_20250901_203612/sweep_REAL_cd32_ld=20_lr=1e-5_2_scatter_PartialEncoderEDDIATSE_pool=sum/figures","64","true","","20","true","","0.00001","0.6","0","30","0","500","/gpfs/commons/home/svaidyanathan/splice_vi_partial_vae_sweep/batch_20250901_203612/sweep_REAL_cd32_ld=20_lr=1e-5_2_scatter_PartialEncoderEDDIATSE_pool=sum/models","50","2","sum","false","true","true","dirichlet_multinomial","[""cell_type_grouped""]","","0.001","/gpfs/commons/groups/knowles_lab/Karin/Leaflet-analysis-WD/MOUSE_SPLICING_FOUNDATION/MODEL_INPUT/072025/test_30_70_20250730_subsetMAX4JUNC.h5mu","/gpfs/commons/groups/knowles_lab/Karin/Leaflet-analysis-WD/MOUSE_SPLICING_FOUNDATION/MODEL_INPUT/072025/train_70_30_20250730_subsetMAX4JUNC.h5mu","4","true","-1","scatter","32.981746673583984","33.187049865722656","499","0","0","15.984341621398926","15.875285148620604","1","/gpfs/commons/home/svaidyanathan/splice_vi_partial_vae_sweep/batch_20250901_203612/sweep_REAL_cd32_ld=20_lr=1e-5_2_scatter_PartialEncoderEDDIATSE_pool=sum/models","","","16.997404098510742","17.311763763427734","","","","","","4418603","4360.259765625","4397.7587890625","169999","4414.7138671875","53130966","0.7991650941104957","0.797516611724806","0.7201884740848133","0.4560916132768176","0.6704139249553731","0.6724531374351131","0.7991505533085119","0.7975026037290261","0.7201884740848133","0.013918567448854446","0.7319662368598209","0.4640240059253813","0.6855933461818217","0.6832682229461384","0.7991078499710289","0.7974611628588644","0.7319662368598209","0.02318990044295788"
"exalted-voice-281","real, scatter, subset","finished","-","","2025-09-02T00:36:43.000Z","51319","","auto","","256","32","","true","auto","0.01","true","false","128","PartialEncoderWeightedSumEDDIMultiWeight","1e-8","/gpfs/commons/home/svaidyanathan/splice_vi_partial_vae_sweep/batch_20250901_203612/sweep_REAL_cd32_ld=20_lr=1e-5_0_scatter_PartialEncoderWeightedSumEDDIMultiWeight_W=5/figures","64","true","","20","true","","0.00001","0.6","0","30","0","500","/gpfs/commons/home/svaidyanathan/splice_vi_partial_vae_sweep/batch_20250901_203612/sweep_REAL_cd32_ld=20_lr=1e-5_0_scatter_PartialEncoderWeightedSumEDDIMultiWeight_W=5/models","50","2","mean","false","true","true","dirichlet_multinomial","[""cell_type_grouped""]","","0.001","/gpfs/commons/groups/knowles_lab/Karin/Leaflet-analysis-WD/MOUSE_SPLICING_FOUNDATION/MODEL_INPUT/072025/test_30_70_20250730_subsetMAX4JUNC.h5mu","/gpfs/commons/groups/knowles_lab/Karin/Leaflet-analysis-WD/MOUSE_SPLICING_FOUNDATION/MODEL_INPUT/072025/train_70_30_20250730_subsetMAX4JUNC.h5mu","5","true","-1","scatter","32.99108123779297","33.01512908935547","499","0","0","16.011363983154297","15.893413543701172","1","/gpfs/commons/home/svaidyanathan/splice_vi_partial_vae_sweep/batch_20250901_203612/sweep_REAL_cd32_ld=20_lr=1e-5_0_scatter_PartialEncoderWeightedSumEDDIMultiWeight_W=5/models","","","16.979719161987305","17.12171745300293","","","","","","3964240","4355.744140625","4407.21826171875","169999","4365.08837890625","53130966","0.799198907139116","0.7979953903512679","0.7692400628246949","0.4626012280385251","0.7344125958326675","0.7327167578412915","0.7992955501300671","0.7980680914140963","0.7692400628246949","0.03377833217382431","0.7736523225104862","0.4750040308433901","0.741348969139206","0.7408423457075577","0.7992714314836774","0.7980539560644937","0.7736523225104862","0.028692852705717087"
"true-water-281","real, scatter, subset","finished","-","","2025-09-02T00:36:43.000Z","45271","","auto","","256","32","","true","auto","0.01","true","false","128","PartialEncoderEDDI","1e-8","/gpfs/commons/home/svaidyanathan/splice_vi_partial_vae_sweep/batch_20250901_203612/sweep_REAL_cd32_ld=20_lr=1e-5_1_scatter_PartialEncoderEDDI_pool=sum/figures","64","true","","20","true","","0.00001","0.6","0","30","0","500","/gpfs/commons/home/svaidyanathan/splice_vi_partial_vae_sweep/batch_20250901_203612/sweep_REAL_cd32_ld=20_lr=1e-5_1_scatter_PartialEncoderEDDI_pool=sum/models","50","2","sum","false","true","true","dirichlet_multinomial","[""cell_type_grouped""]","","0.001","/gpfs/commons/groups/knowles_lab/Karin/Leaflet-analysis-WD/MOUSE_SPLICING_FOUNDATION/MODEL_INPUT/072025/test_30_70_20250730_subsetMAX4JUNC.h5mu","/gpfs/commons/groups/knowles_lab/Karin/Leaflet-analysis-WD/MOUSE_SPLICING_FOUNDATION/MODEL_INPUT/072025/train_70_30_20250730_subsetMAX4JUNC.h5mu","4","true","-1","scatter","32.73929977416992","32.742156982421875","499","0","0","15.753315925598145","15.574987411499023","1","/gpfs/commons/home/svaidyanathan/splice_vi_partial_vae_sweep/batch_20250901_203612/sweep_REAL_cd32_ld=20_lr=1e-5_1_scatter_PartialEncoderEDDI_pool=sum/models","","","16.98598289489746","17.16716957092285","","","","","","3958411","4357.048828125","4434.44287109375","169999","4374.1826171875","53130966","0.7990183000331822","0.7975914022641128","0.7866376706536184","0.4757676359185946","0.7566231418692858","0.7551423328762017","0.7990470407620233","0.7976003768380419","0.7866376706536184","0.050674304366111755","0.7905338926000725","0.4799550539107388","0.7622403717049379","0.7605100400233673","0.7990252407487952","0.7975806775676638","0.7905338926000725","0.04655015841126442"
"zany-disco-280","real, scatter, subset","finished","-","","2025-09-02T00:36:43.000Z","45524","","auto","","256","32","","true","auto","0.01","true","false","128","PartialEncoderEDDI","1e-8","/gpfs/commons/home/svaidyanathan/splice_vi_partial_vae_sweep/batch_20250901_203612/sweep_REAL_cd32_ld=20_lr=1e-5_3_scatter_PartialEncoderEDDI_pool=mean/figures","64","true","","20","true","","0.00001","0.6","0","30","0","500","/gpfs/commons/home/svaidyanathan/splice_vi_partial_vae_sweep/batch_20250901_203612/sweep_REAL_cd32_ld=20_lr=1e-5_3_scatter_PartialEncoderEDDI_pool=mean/models","50","2","mean","false","true","true","dirichlet_multinomial","[""cell_type_grouped""]","","0.001","/gpfs/commons/groups/knowles_lab/Karin/Leaflet-analysis-WD/MOUSE_SPLICING_FOUNDATION/MODEL_INPUT/072025/test_30_70_20250730_subsetMAX4JUNC.h5mu","/gpfs/commons/groups/knowles_lab/Karin/Leaflet-analysis-WD/MOUSE_SPLICING_FOUNDATION/MODEL_INPUT/072025/train_70_30_20250730_subsetMAX4JUNC.h5mu","4","true","-1","scatter","32.807823181152344","32.63462829589844","499","0","0","15.819379806518556","15.46640682220459","1","/gpfs/commons/home/svaidyanathan/splice_vi_partial_vae_sweep/batch_20250901_203612/sweep_REAL_cd32_ld=20_lr=1e-5_3_scatter_PartialEncoderEDDI_pool=mean/models","","","16.988445281982422","17.16822052001953","","","","","","3958411","4358.4833984375","3973.956298828125","169999","4378.0947265625","53130966","0.7991541039972441","0.7986179583018013","0.7842213362329347","0.46925116211733264","0.7549436821406569","0.7514697272390182","0.7992008503023413","0.7986566733322933","0.7842213362329347","0.05007709935307503","0.7961265599917146","0.4761627800833814","0.7691221683141886","0.7688291666021766","0.7991728433105731","0.7986320486833604","0.7961265599917146","0.04759034514427185"
"major-durian-281","real, scatter, subset","finished","-","","2025-09-02T00:36:43.000Z","46947","","auto","","256","32","","true","auto","0.01","true","false","128","PartialEncoderEDDIATSE","1e-8","/gpfs/commons/home/svaidyanathan/splice_vi_partial_vae_sweep/batch_20250901_203612/sweep_REAL_cd32_ld=20_lr=1e-5_4_scatter_PartialEncoderEDDIATSE_pool=mean/figures","64","true","","20","true","","0.00001","0.6","0","30","0","500","/gpfs/commons/home/svaidyanathan/splice_vi_partial_vae_sweep/batch_20250901_203612/sweep_REAL_cd32_ld=20_lr=1e-5_4_scatter_PartialEncoderEDDIATSE_pool=mean/models","50","2","mean","false","true","true","dirichlet_multinomial","[""cell_type_grouped""]","","0.001","/gpfs/commons/groups/knowles_lab/Karin/Leaflet-analysis-WD/MOUSE_SPLICING_FOUNDATION/MODEL_INPUT/072025/test_30_70_20250730_subsetMAX4JUNC.h5mu","/gpfs/commons/groups/knowles_lab/Karin/Leaflet-analysis-WD/MOUSE_SPLICING_FOUNDATION/MODEL_INPUT/072025/train_70_30_20250730_subsetMAX4JUNC.h5mu","4","true","-1","scatter","32.9895133972168","32.871925354003906","499","0","0","15.981922149658203","15.809328079223633","1","/gpfs/commons/home/svaidyanathan/splice_vi_partial_vae_sweep/batch_20250901_203612/sweep_REAL_cd32_ld=20_lr=1e-5_4_scatter_PartialEncoderEDDIATSE_pool=mean/models","","","17.007591247558594","17.062597274780273","","","","","","4418603","4363.41650390625","4057.4853515625","169999","4351.30419921875","53130966","0.799610187296095","0.7982640693472708","0.7421771173130361","0.45485057418799113","0.6934849900990459","0.6875600554289327","0.7995887869529682","0.7982393503373709","0.7421771173130361","0.04547472670674324","0.7521101962611982","0.45773651244820457","0.708199513261595","0.7023196984926141","0.7995475333005355","0.7982136237007568","0.7521101962611982","0.0508284866809845"
